total_sqft,bhk,baths,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft,Burari,Dilshad Colony,Dilshad Garden,Dwarka Mor,Hari Nagar,Laxmi Nagar,Mahavir Enclave,Mehrauli,Mohan Garden,Om Vihar,Paschim Vihar,Pitampura,Sector 16 Rohini,Sector 22 Rohini,Shahadra,Tilak Nagar,Uttam Nagar,Vikas Puri,Vishnu Garden
900,2,2,60,1,0,0,0,6666.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
900,3,2,72,0,1,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
360,1,1,22,0,0,0,1,6111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
620,2,2,28,0,0,0,1,4516.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
555,1,1,20,0,1,0,0,3603.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
400,1,1,18,0,1,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
720,2,2,45,0,0,0,1,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
450,1,1,20,0,1,0,0,4444.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
650,2,2,32,0,0,0,1,4923.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
900,2,2,38,0,0,0,1,4222.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
625,2,2,35,0,0,0,1,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
600,2,2,30,0,1,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
900,3,2,46,0,1,0,0,5111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
720,2,2,46,1,0,0,0,6388.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
650,2,2,32,0,0,0,1,4923.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
550,1,1,18.5,0,1,0,0,3363.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
450,1,1,25,0,0,0,1,5555.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
450,1,1,17,0,1,0,0,3777.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
900,3,2,43,0,1,0,0,4777.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
900,3,2,50,0,0,0,1,5555.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
375,1,1,12,1,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
900,2,1,46,0,0,0,1,5111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
850,2,1,75,0,0,0,1,8823.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
860,2,2,105,0,0,0,1,12209.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
750,2,2,82,0,1,0,0,10933.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
774,2,2,85,0,1,0,0,10981.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
900,3,2,86,0,0,1,0,9555.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
754,2,2,79,0,1,0,0,10477.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
540,1,1,41,0,0,0,1,7592.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
750,2,2,62,0,1,0,0,8266.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
900,3,2,70,0,1,0,0,7777.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
750,2,2,62,0,0,0,1,8266.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
810,1,2,52,1,0,0,0,6419.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
990,2,2,60,0,1,0,0,6060.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
900,3,2,155,0,1,0,0,17222.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,2,2,130,1,0,0,0,16109.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,1,1,25,0,1,0,0,7142.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3,3,95,0,1,0,0,10555.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,98,0,1,0,0,10888.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,2,1,90,0,1,0,0,14285.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,85,0,1,0,0,9444.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,120,0,1,0,0,13333.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,2,2,58,0,0,0,1,8055.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,1,2,20.5,0,0,0,1,5694.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,2,2,100,0,1,0,0,13280.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,2,2,95,0,1,0,0,12616.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,2,2,150,0,1,0,0,19480.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,1,1,75,0,0,1,0,21067.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648,2,2,72,0,1,0,0,11111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,2,2,139,0,1,0,0,14631.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1,1,35,0,0,0,1,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,2,1,69,0,1,0,0,9583.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,2,2,60,0,1,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3,3,75,0,1,0,0,8333.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,1,1,23,0,1,0,0,3833.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,2,2,107,0,1,0,0,11263.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,2,2,75,1,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,1,1,12,0,0,0,1,3278.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,2,2,75,0,1,0,0,8823.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,1,1,100,1,0,0,0,13888.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,2,2,50,0,1,0,0,7142.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,2,2,85,0,1,0,0,8947.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1,1,18,0,1,0,0,5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968,3,3,115,0,0,0,1,11880.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,110,0,0,0,1,12222.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,1,1,15,0,1,0,0,3333.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,1,1,12,0,1,0,0,2696.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,1,1,18,0,0,0,1,5070.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,1,1,21,0,1,0,0,4565.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,2,2,43,1,0,0,0,7166.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,1,2,22.5,0,1,0,0,5056.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1,1,28,0,1,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,2,2,67,0,1,0,0,9738.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,2,2,87.25,0,1,0,0,9587.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,1,1,17,0,0,0,1,4722.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975,2,2,110,1,0,0,0,11282.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968,1,1,275,0,0,1,0,28409.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,1,135,1,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,1,1,51,0,0,0,1,11333.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,2,2,82,0,1,0,0,12275.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,2,1,95,0,1,0,0,9895.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858,2,2,140,0,1,0,0,16317.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945,2,2,85,0,1,0,0,8994.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,2,2,115,0,1,0,0,15972.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,2,2,95,0,1,0,0,9693.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,125,0,1,0,0,13888.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,1,1,25,0,0,0,1,6944.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,1,1,28,0,1,0,0,7865.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,2,2,71,1,0,0,0,8452.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,2,95,0,1,0,0,10555.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,1,1,15,1,0,0,0,3787.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3,2,80,0,1,0,0,8888.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,2,1,57,0,0,0,1,8769.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,1,1,18,0,1,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,2,2,105,0,1,0,0,10824.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,2,1,110,0,1,0,0,12941.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,2,2,125,0,1,0,0,15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,1,2,69,0,0,0,1,10615.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,1,1,20,0,0,0,1,5464.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,1,2,95,0,1,0,0,11875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1,1,100,0,0,0,1,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2,1,99,1,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1,1,53,1,0,0,0,10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,1,1,21.5,0,0,0,1,4545.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,2,2,120,0,1,0,0,12244.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648,2,2,70,0,1,0,0,10802.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,2,2,80,0,1,0,0,12307.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,2,2,110,0,1,0,0,12941.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669,2,2,78,0,1,0,0,11659.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
